Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?
1986-03-13 00:00:00-05:00,0.05512072825822347,0.06322679082887625,0.05512072825822347,0.0605243556201458,1031788800,0.0,0.0,False
1986-03-14 00:00:00-05:00,0.06052432299687963,0.06376711919390002,0.06052432299687963,0.0626857727766037,308160000,0.0,0.0,False
1986-03-17 00:00:00-05:00,0.06268578113128266,0.06430749020964927,0.06268578113128266,0.06376712769269943,133171200,0.0,0.0,False
1986-03-18 00:00:00-05:00,0.06376712851817158,0.06430749104211646,0.06160505689486692,0.0621454194188118,67766400,0.0,0.0,False
1986-03-19 00:00:00-05:00,0.062145430493122295,0.06268579311335974,0.060524342632409946,0.0610647052526474,47894400,0.0,0.0,False
1986-03-20 00:00:00-05:00,0.0610646763945317,0.0610646763945317,0.05890322693504573,0.05944358929991722,58435200,0.0,0.0,False
1986-03-21 00:00:00-05:00,0.0594436055895191,0.06052433061541808,0.056741793024771635,0.057822518050670624,59990400,0.0,0.0,False
1986-03-24 00:00:00-05:00,0.05782253864287715,0.05782253864287715,0.05566108782132671,0.056201450526714325,65289600,0.0,0.0,False
1986-03-25 00:00:00-05:00,0.056201435839245785,0.057282160967588425,0.05566107327507447,0.057282160967588425,32083200,0.0,0.0,False
1986-03-26 00:00:00-05:00,0.057282144976859406,0.05944359463016023,0.0567417825635342,0.05890323221683502,22752000,0.0,0.0,False
1986-03-27 00:00:00-05:00,0.05890324735562276,0.05998397246003151,0.05890324735562276,0.05998397246003151,16848000,0.0,0.0,False
1986-03-31 00:00:00-05:00,0.05998395166478872,0.05998395166478872,0.05836286457017424,0.05944358929991722,12873600,0.0,0.0,False
1986-04-01 00:00:00-05:00,0.05944359463016023,0.05944359463016023,0.05890323221683502,0.05890323221683502,11088000,0.0,0.0,False
1986-04-02 00:00:00-05:00,0.05890322693504573,0.06052431402966021,0.05890322693504573,0.05944358929991722,27014400,0.0,0.0,False
1986-04-03 00:00:00-05:00,0.05998397246003151,0.06160506011664463,0.05998397246003151,0.05998397246003151,23040000,0.0,0.0,False
1986-04-04 00:00:00-05:00,0.05998397246003151,0.06052433501223588,0.05998397246003151,0.05998397246003151,26582400,0.0,0.0,False
1986-04-07 00:00:00-05:00,0.059983957043485435,0.060524319456810645,0.057822507390184616,0.05890323221683502,16560000,0.0,0.0,False
1986-04-08 00:00:00-05:00,0.05890322693504573,0.06052431402966021,0.05890322693504573,0.05944358929991722,10252800,0.0,0.0,False
1986-04-09 00:00:00-05:00,0.059443630147761335,0.06106471835633803,0.059443630147761335,0.0605243556201458,12153600,0.0,0.0,False
1986-04-10 00:00:00-05:00,0.060524342632409946,0.06160506787288485,0.059443617391935044,0.0610647052526474,13881600,0.0,0.0,False
1986-04-11 00:00:00-05:00,0.06160505689486692,0.0632267659942267,0.06160505689486692,0.0621454194188118,17222400,0.0,0.0,False
1986-04-14 00:00:00-05:00,0.06214541033167268,0.06322675674896899,0.06214541033167268,0.0626857727766037,12153600,0.0,0.0,False
1986-04-15 00:00:00-05:00,0.0626857727766037,0.0626857727766037,0.06052432299687963,0.0626857727766037,9302400,0.0,0.0,False
1986-04-16 00:00:00-05:00,0.06268575622153878,0.06538818925992607,0.062145393919315346,0.06484782695770264,31910400,0.0,0.0,False
1986-04-17 00:00:00-05:00,0.0648478328652064,0.06538819521665573,0.0648478328652064,0.06538819521665573,22003200,0.0,0.0,False
1986-04-18 00:00:00-05:00,0.0653882247158189,0.0653882247158189,0.06268579021207253,0.06322677433490753,21628800,0.0,0.0,False
1986-04-21 00:00:00-05:00,0.06322677433490753,0.06376713693013537,0.061605065021616855,0.06322677433490753,22924800,0.0,0.0,False
1986-04-22 00:00:00-05:00,0.0632267659942267,0.0632267659942267,0.0621454194188118,0.0621454194188118,15552000,0.0,0.0,False
1986-04-23 00:00:00-05:00,0.06214542829216163,0.06268579089326144,0.06160506569106182,0.062415607273578644,15609600,0.0,0.0,False
1986-04-24 00:00:00-05:00,0.06241561067254109,0.0697111300314269,0.062145431676410956,0.0686304047703743,62352000,0.0,0.0,False
1986-04-25 00:00:00-05:00,0.06917074354820779,0.07592589794713415,0.06917074354820779,0.07295390218496323,85795200,0.0,0.0,False
1986-04-28 00:00:00-04:00,0.07295390056117412,0.07403462542549734,0.07241291660159292,0.07349426299333572,28886400,0.0,0.0,False
1986-04-29 00:00:00-04:00,0.07349428058584327,0.07349428058584327,0.07079184625072725,0.07133220881223679,30326400,0.0,0.0,False
1986-04-30 00:00:00-04:00,0.07133220657011305,0.07187256911463782,0.06809003130296436,0.0697111189365387,30902400,0.0,0.0,False
1986-05-01 00:00:00-04:00,0.0697111300314269,0.0697111300314269,0.0675496795093217,0.0686304047703743,54345600,0.0,0.0,False
1986-05-02 00:00:00-04:00,0.0686304047703743,0.0697111300314269,0.068090042139848,0.0686304047703743,20246400,0.0,0.0,False
1986-05-05 00:00:00-04:00,0.06863038407786348,0.06863038407786348,0.06809002161026001,0.06809002161026001,3254400,0.0,0.0,False
1986-05-06 00:00:00-04:00,0.0686304047703743,0.0697111300314269,0.0686304047703743,0.0686304047703743,9734400,0.0,0.0,False
1986-05-07 00:00:00-04:00,0.0686304047703743,0.0691707674009006,0.0675496795093217,0.0686304047703743,5155200,0.0,0.0,False
1986-05-08 00:00:00-04:00,0.06863039557007858,0.0691707581281662,0.06809003301199096,0.0691707581281662,3542400,0.0,0.0,False
1986-05-09 00:00:00-04:00,0.0691707674009006,0.0691707674009006,0.0686304047703743,0.0686304047703743,6076800,0.0,0.0,False
1986-05-12 00:00:00-04:00,0.06863039557007858,0.07079184580242905,0.06863039557007858,0.0691707581281662,10483200,0.0,0.0,False
1986-05-13 00:00:00-04:00,0.06917075639201392,0.07025148148106349,0.06917075639201392,0.0697111189365387,3830400,0.0,0.0,False
1986-05-14 00:00:00-04:00,0.06971112068625382,0.06971112068625382,0.0691707581281662,0.0691707581281662,9302400,0.0,0.0,False
1986-05-15 00:00:00-04:00,0.0691707581281662,0.07025148324434144,0.0691707581281662,0.0691707581281662,3801600,0.0,0.0,False
1986-05-16 00:00:00-04:00,0.06917075639201392,0.07133220657011305,0.06917075639201392,0.0697111189365387,11952000,0.0,0.0,False
1986-05-19 00:00:00-04:00,0.0697111300314269,0.0697111300314269,0.068090042139848,0.0686304047703743,11001600,0.0,0.0,False
1986-05-20 00:00:00-04:00,0.06863038407786348,0.06863038407786348,0.06754965914265654,0.06809002161026001,61977600,0.0,0.0,False
1986-05-21 00:00:00-04:00,0.06808999469926827,0.06863035695330609,0.06700927019119263,0.06700927019119263,8092800,0.0,0.0,False
1986-05-22 00:00:00-04:00,0.06700927019119263,0.06754963244523045,0.06700927019119263,0.06700927019119263,4406400,0.0,0.0,False
1986-05-23 00:00:00-04:00,0.06700927019119263,0.06808999469926827,0.06700927019119263,0.06700927019119263,4089600,0.0,0.0,False
